id,document,category,difficulty,question,baseline_gt_coverage,agentic_gt_coverage,baseline_gt_f1,agentic_gt_f1,baseline_missing_information_accuracy,agentic_missing_information_accuracy,baseline_multi_hop_coverage,agentic_multi_hop_coverage,baseline_graph_reasoning_success,agentic_graph_reasoning_success,baseline_evidence_support_rate,agentic_evidence_support_rate,baseline_faithfulness,baseline_answer_relevancy,baseline_context_precision,baseline_context_recall,baseline_overall,agentic_faithfulness,agentic_answer_relevancy,agentic_context_precision,agentic_context_recall,agentic_overall,baseline_latency_s,agentic_latency_s,baseline_chunks,agentic_chunks
1,thesis_doc_01_rag_system_design.docx,self-reflection reliability reasoning,hard,"Explain how the RAG design connects retrieved chunks, citation rules and the reliability gate to prevent unsupported answers.",0.9,0.95,0.222,0.235,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,19.7,71.86,5,10
2,thesis_doc_01_rag_system_design.docx,evaluation and ablation explanation,hard,"Why can a vector only baseline fail on broad summary questions, and how does the agentic design reduce that risk?",0.652,0.696,0.517,0.561,,,0.4,0.8,,,0.0,0.333,,,,,,,,,,,12.06,64.01,5,9
3,thesis_doc_01_rag_system_design.docx,missing information handling,hard,"If a rollback question mentions an approval exception that is not in the document, what should the system answer and why?",0.722,0.611,0.52,0.333,1.0,1.0,0.75,0.5,,,1.0,0.667,,,,,,,,,,,10.63,69.02,5,9
4,thesis_doc_01_rag_system_design.docx,evaluation and ablation explanation,hard,Compare the reliability value and latency cost of the agentic system against the baseline in this design.,0.762,0.714,0.356,0.411,,,0.8,0.8,,,0.667,0.667,,,,,,,,,,,13.8,82.15,5,9
5,thesis_doc_01_rag_system_design.docx,evidence selection,hard,Which evidence supports using BM25 together with vector retrieval for reliable RAG?,0.857,0.952,0.269,0.253,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,19.2,66.16,5,9
6,thesis_doc_01_rag_system_design.docx,self-reflection reliability reasoning,hard,How should the fallback rule behave when the reliability gate fails but retrieved context is available?,0.938,0.75,0.811,0.632,,,1.0,1.0,,,0.667,1.0,,,,,,,,,,,11.41,70.43,5,9
7,thesis_doc_02_multi_agent_workflow.docx,multi-hop relationship reasoning,hard,Trace the full workflow for a complex query from planning to final reliability checking.,0.933,0.867,0.308,0.248,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,19.66,70.96,5,9
8,thesis_doc_02_multi_agent_workflow.docx,self-reflection reliability reasoning,hard,How does validator retry make the agentic workflow more reliable than a single retrieval baseline?,0.75,0.688,0.156,0.319,,,1.0,0.8,,,1.0,0.333,,,,,,,,,,,18.72,67.11,5,9
9,thesis_doc_02_multi_agent_workflow.docx,multi-hop relationship reasoning,hard,"Explain the connection between the Writer Agent, Critic Agent and regeneration loop.",0.778,0.722,0.475,0.4,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,13.1,61.84,5,9
10,thesis_doc_02_multi_agent_workflow.docx,evaluation and ablation explanation,hard,Why does the benchmark disable critic regeneration while still recording critic scores?,0.389,0.333,0.341,0.308,,,0.8,0.6,,,1.0,1.0,,,,,,,,,,,8.93,63.7,5,9
